name	description	image	price	domain	link
Hoxton Ultra Skinny Exposed Bn - Black Fog Luxe Coating		https://www.paige.com/binaries/content/gallery/products/5/5647901-3364/5647901-3364_01.jpg/5647901-3364_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/hoxton-ultra-skinny-exposed-bn--5647901-3364
Margot Ultra Skinny Double Yok - Janley		https://www.paige.com/binaries/content/gallery/products/5/5506e77-6459/5506e77-6459_01.jpg/5506e77-6459_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/margot-ultra-skinny-double-yok--5506e77-6459
Sevilla Bodysuit - Cream		https://www.paige.com/binaries/content/gallery/products/4/4744e25-6149/4744e25-6149_01.jpg/4744e25-6149_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/sevilla-bodysuit--4744e25-6149
Sevilla Bodysuit - Tulip Red		https://www.paige.com/binaries/content/gallery/products/4/4744e25-7305/4744e25-7305_01.jpg/4744e25-7305_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/sevilla-bodysuit--4744e25-7305
Kahlo Jacket - Blush		https://www.paige.com/binaries/content/gallery/products/5/5358d67-7381/5358d67-7381_01.jpg/5358d67-7381_01.jpg/brxp:xlProduct	$299.00	paige	https://www.paige.com/p/kahlo-jacket--5358d67-7381
Ellison Tee - White		https://www.paige.com/binaries/content/gallery/products/4/4951e88-1165/4951e88-1165_01.jpg/4951e88-1165_01.jpg/brxp:xlProduct	$79.00	paige	https://www.paige.com/p/ellison-tee--4951e88-1165
Caprina Blouse - White		https://www.paige.com/binaries/content/gallery/products/5/5325d82-1165/5325d82-1165_01.jpg/5325d82-1165_01.jpg/brxp:xlProduct	$249.00	paige	https://www.paige.com/p/caprina-blouse--5325d82-1165
Hoxton Ultra Skinny - Coated Red Snake		https://www.paige.com/binaries/content/gallery/products/1/1563799-6511/1563799-6511_01.jpg/1563799-6511_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/hoxton-ultra-skinny--1563799-6511
Cleobelle Blouse - Metallic Black		https://www.paige.com/binaries/content/gallery/products/4/4642d83-7392/4642d83-7392_01.jpg/4642d83-7392_01.jpg/brxp:xlProduct	$249.00	paige	https://www.paige.com/p/cleobelle-blouse--4642d83-7392
Neve Shirt - Black/tulip - Baxter Plaid		https://www.paige.com/binaries/content/gallery/products/5/5382d77-7306/5382d77-7306_01.jpg/5382d77-7306_01.jpg/brxp:xlProduct	$159.00	paige	https://www.paige.com/p/neve-shirt--5382d77-7306
Dielle Jumpsuit - Black Falling Floral		https://www.paige.com/binaries/content/gallery/products/5/5359d73-7325/5359d73-7325_01.jpg/5359d73-7325_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/dielle-jumpsuit--5359d73-7325
Abelie Top - Black Falling Floral		https://www.paige.com/binaries/content/gallery/products/5/5360d73-7326/5360d73-7326_01.jpg/5360d73-7326_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/abelie-top--5360d73-7326
Kiki Blouse - Parchment Toile De Jouy		https://www.paige.com/binaries/content/gallery/products/5/5364d72-7313/5364d72-7313_01.jpg/5364d72-7313_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/kiki-blouse--5364d72-7313
Clarita Top - Black		https://www.paige.com/binaries/content/gallery/products/5/5322e25-1086/5322e25-1086_01.jpg/5322e25-1086_01.jpg/brxp:xlProduct	$189.00	paige	https://www.paige.com/p/clarita-top--5322e25-1086
Clarita Top - Blush		https://www.paige.com/binaries/content/gallery/products/5/5322e25-7381/5322e25-7381_01.jpg/5322e25-7381_01.jpg/brxp:xlProduct	$189.00	paige	https://www.paige.com/p/clarita-top--5322e25-7381
Caprice Shirt - Black		https://www.paige.com/binaries/content/gallery/products/5/5362e25-1086/5362e25-1086_01.jpg/5362e25-1086_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/caprice-shirt--5362e25-1086
Rosella Dress - Black Falling Floral		https://www.paige.com/binaries/content/gallery/products/5/5388d73-7325/5388d73-7325_01.jpg/5388d73-7325_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/rosella-dress--5388d73-7325
Delfina Skirt - Burgundy Marled Plaid		https://www.paige.com/binaries/content/gallery/products/5/5489d78-7303/5489d78-7303_01.jpg/5489d78-7303_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/delfina-skirt--5489d78-7303
Cicely Cami - Marigold		https://www.paige.com/binaries/content/gallery/products/4/4873e01-7378/4873e01-7378_01.jpg/4873e01-7378_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/cicely-cami-with-v-back--4873e01-7378
Cicely Cami - Frosted Mint		https://www.paige.com/binaries/content/gallery/products/4/4873e01-7376/4873e01-7376_01.jpg/4873e01-7376_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/cicely-cami-with-v-back--4873e01-7376
Carmen In Suede - Cognac		https://www.paige.com/binaries/content/gallery/products/s/sh83702-cog/sh83702-cog_01.jpg/sh83702-cog_01.jpg/brxp:xlProduct	$498.00	paige	https://www.paige.com/p/carmen-in-suede--sh83702-cog
Carmen - Black Suede		https://www.paige.com/binaries/content/gallery/products/s/sh83802-blk/sh83802-blk_01.jpg/sh83802-blk_01.jpg/brxp:xlProduct	$498.00	paige	https://www.paige.com/p/carmen-in-suede--sh83802-blk
Carmen Boot - Black Embossed Croc Leather		https://www.paige.com/binaries/content/gallery/products/s/sh84012-blc/sh84012-blc_01.jpg/sh84012-blc_01.jpg/brxp:xlProduct	$578.00	paige	https://www.paige.com/p/carmen-in-croc--sh84012-blc
Nellie Culotte - Starstruck		https://www.paige.com/binaries/content/gallery/products/4/4451b61-7395/4451b61-7395_01.jpg/4451b61-7395_01.jpg/brxp:xlProduct	$225.00	paige	https://www.paige.com/p/nellie-culotte--4451b61-7395
Shawna Dress - True Blue		https://www.paige.com/binaries/content/gallery/products/4/4501d61-7352/4501d61-7352_01.jpg/4501d61-7352_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/shawna-dress--4501d61-7352
Jaylin Shirt - Burgundy		https://www.paige.com/binaries/content/gallery/products/4/4604e50-7335/4604e50-7335_01.jpg/4604e50-7335_01.jpg/brxp:xlProduct	$159.00	paige	https://www.paige.com/p/jaylin-shirt--4604e50-7335
Noella Straight - Casanova Distressed		https://www.paige.com/binaries/content/gallery/products/4/4820b61-6453/4820b61-6453_01.jpg/4820b61-6453_01.jpg/brxp:xlProduct	$225.00	paige	https://www.paige.com/p/noella-straight--4820b61-6453
Taryn Shirt - Marigold Marled Plaid		https://www.paige.com/binaries/content/gallery/products/5/5542d78-7302/5542d78-7302_01.jpg/5542d78-7302_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/taryn-shirt--5542d78-7302
Taryn Shirt - Burgundy Marled Plaid		https://www.paige.com/binaries/content/gallery/products/5/5542d78-7303/5542d78-7303_01.jpg/5542d78-7303_01.jpg/brxp:xlProduct	$169.00	paige	https://www.paige.com/p/taryn-shirt--5542d78-7303
Nellie Culotte - Marigold		https://www.paige.com/binaries/content/gallery/products/5/5546d66-7378/5546d66-7378_01.jpg/5546d66-7378_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/nellie-culotte-with-wide-belt--5546d66-7378
Basil Dress - Black Neon Butterfly		https://www.paige.com/binaries/content/gallery/products/5/5550d70-7402/5550d70-7402_01.jpg/5550d70-7402_01.jpg/brxp:xlProduct	$349.00	paige	https://www.paige.com/p/basil-dress--5550d70-7402
Sutton Wide Leg - Marigold		https://www.paige.com/binaries/content/gallery/products/5/5551d66-7378/5551d66-7378_01.jpg/5551d66-7378_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/sutton-with-roxxi-pocket--5551d66-7378
Hoxton Ankle Skinny - Jazlyn Destructed		https://www.paige.com/binaries/content/gallery/products/5/5560e77-6444/5560e77-6444_01.jpg/5560e77-6444_01.jpg/brxp:xlProduct	$225.00	paige	https://www.paige.com/p/hoxton-ankle-skinny--5560e77-6444
Hoxton Ankle Skinny - Lexine		https://www.paige.com/binaries/content/gallery/products/5/5560f72-7672/5560f72-7672_01.jpg/5560f72-7672_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-ankle-skinny--5560f72-7672
Hoxton Ultra Skinny Exposed Bn - Chicory Coffee Luxe Coating		data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADgAAAA4CAYAAACohjseAAAAAXNSR0IArs4c6QAAAE5JREFUaAXt0AENAAAAwqD3T20PBxEoDBgwYMCAAQMGDBgwYMCAAQMGDBgwYMCAAQMGDBgwYMCAAQMGDBgwYMCAAQMGDBgwYMCAAQOfAwMxOAABhZ1zWQAAAABJRU5ErkJggg==	$239.00	paige	https://www.paige.com/p/hoxton-ultra-skinny-exposed-bn--5647799-6498
Sarah Slim - Starstruck Destructed		https://www.paige.com/binaries/content/gallery/products/5/5673b61-6452/5673b61-6452_01.jpg/5673b61-6452_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/sarah-slim--5673b61-6452
Sarah Slim - Black Willow		https://www.paige.com/binaries/content/gallery/products/5/5673f60-6497/5673f60-6497_01.jpg/5673f60-6497_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/sarah-slim--5673f60-6497
Adalyn V Neck Sweater - Black		https://www.paige.com/binaries/content/gallery/products/5/5694f42-1086/5694f42-1086_01.jpg/5694f42-1086_01.jpg/brxp:xlProduct	$299.00	paige	https://www.paige.com/p/adalyn-v-neck--5694f42-1086
Adalyn V Neck Sweater - Posy		https://www.paige.com/binaries/content/gallery/products/5/5694f42-7587/5694f42-7587_01.jpg/5694f42-7587_01.jpg/brxp:xlProduct	$299.00	paige	https://www.paige.com/p/adalyn-v-neck--5694f42-7587
Chelsea Turtleneck - Black		https://www.paige.com/binaries/content/gallery/products/5/5695f43-1086/5695f43-1086_01.jpg/5695f43-1086_01.jpg/brxp:xlProduct	$289.00	paige	https://www.paige.com/p/chelsea-turtleneck--5695f43-1086
Chelsea Turtleneck - Thunder		https://www.paige.com/binaries/content/gallery/products/5/5695f43-7584/5695f43-7584_01.jpg/5695f43-7584_01.jpg/brxp:xlProduct	$289.00	paige	https://www.paige.com/p/chelsea-turtleneck--5695f43-7584
Hoxton Slim - Casanova Distressed		https://www.paige.com/binaries/content/gallery/products/5/5701b61-6453/5701b61-6453_01.jpg/5701b61-6453_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/hoxton-slim--5701b61-6453
Rayven Jacket - Black		https://www.paige.com/binaries/content/gallery/products/5/5744f01-1086/5744f01-1086_01.jpg/5744f01-1086_01.jpg/brxp:xlProduct	$699.00	paige	https://www.paige.com/p/rayven-jacket--5744f01-1086
Rayven Jacket - Toffee		https://www.paige.com/binaries/content/gallery/products/5/5744f01-7471/5744f01-7471_01.jpg/5744f01-7471_01.jpg/brxp:xlProduct	$699.00	paige	https://www.paige.com/p/rayven-jacket--5744f01-7471
Keily Top - Charcoal Heather		https://www.paige.com/binaries/content/gallery/products/5/5791f36-7370/5791f36-7370_01.jpg/5791f36-7370_01.jpg/brxp:xlProduct	$149.00	paige	https://www.paige.com/p/keily-top--5791f36-7370
Hoxton Slim - Vintage Truffle		https://www.paige.com/binaries/content/gallery/products/5/5529208-6461/5529208-6461_01.jpg/5529208-6461_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/hoxton-slim--5529208-6461
Hoxton Ultra Skinny - Coated Brown Snake		https://www.paige.com/binaries/content/gallery/products/1/1563799-6510/1563799-6510_01.jpg/1563799-6510_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/hoxton-ultra-skinny--1563799-6510
Leonetta Blouse - Parchment Neon Butterfly		https://www.paige.com/binaries/content/gallery/products/5/5518d70-7403/5518d70-7403_01.jpg/5518d70-7403_01.jpg/brxp:xlProduct	$249.00	paige	https://www.paige.com/p/leonetta-blouse--5518d70-7403
Hoxton Slim - Blush		https://www.paige.com/binaries/content/gallery/products/5/5277d66-7381/5277d66-7381_01.jpg/5277d66-7381_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-slim--5277d66-7381
Nellie Culotte - Blush Belted		https://www.paige.com/binaries/content/gallery/products/5/5546d66-7381/5546d66-7381_01.jpg/5546d66-7381_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/nellie-culotte-with-wide-belt--5546d66-7381
Audra Top - White		https://www.paige.com/binaries/content/gallery/products/5/5288e88-1165/5288e88-1165_01.jpg/5288e88-1165_01.jpg/brxp:xlProduct	$89.00	paige	https://www.paige.com/p/audra-ls-top--5288e88-1165
Hoxton Skinny - Brentwood		https://www.paige.com/binaries/content/gallery/products/1/1852984-6442/1852984-6442_01.jpg/1852984-6442_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/hoxton-skinny--1852984-6442
Verdugo Ultra Skinny - Brentwood		https://www.paige.com/binaries/content/gallery/products/1/1394984-6442/1394984-6442_01.jpg/1394984-6442_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/verdugo-ultra-skinny--1394984-6442
Hoxton Slim - Dorado		https://www.paige.com/binaries/content/gallery/products/5/5809f46-6484/5809f46-6484_01.jpg/5809f46-6484_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/hoxton-slim-exposed-btn-fly--5809f46-6484
Margot Skinny - Bambi		https://www.paige.com/binaries/content/gallery/products/5/5845e77-6449/5845e77-6449_01.jpg/5845e77-6449_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/margot-skinny--5845e77-6449
Clean Front Anessa - Warm Camel		https://www.paige.com/binaries/content/gallery/products/5/5907b58-7658/5907b58-7658_01.jpg/5907b58-7658_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/clean-frnt-anessa-criss-cross--5907b58-7658
Hoxton Straight 32” - Black Shadow		https://www.paige.com/binaries/content/gallery/products/6/6035521-2139/6035521-2139_01.jpg/6035521-2139_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/hoxton-straight--6035521-2139
Hoxton Straight - Brentwood		https://www.paige.com/binaries/content/gallery/products/6/6035984-6442/6035984-6442_01.jpg/6035984-6442_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-straight--6035984-6442
Skyline Skinny - Socal		https://www.paige.com/binaries/content/gallery/products/0/0248c36-6438/0248c36-6438_01.jpg/0248c36-6438_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/skyline-skinny--0248c36-6438
Manhattan Boot - The 101		https://www.paige.com/binaries/content/gallery/products/1/1457697-7408/1457697-7408_01.jpg/1457697-7408_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/manhattan-boot--1457697-7408
Hoxton Ultra Skinny - Cityscape		https://www.paige.com/binaries/content/gallery/products/1/1563697-6445/1563697-6445_01.jpg/1563697-6445_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/hoxton-ultra-skinny--1563697-6445
Hoxton Ultra Skinny - Paradise Cove		https://www.paige.com/binaries/content/gallery/products/1/1563984-6443/1563984-6443_01.jpg/1563984-6443_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-ultra-skinny--1563984-6443
Hoxton Velvet Skinny - Atlantic		https://www.paige.com/binaries/content/gallery/products/1/1563a66-7291/1563a66-7291_01.jpg/1563a66-7291_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-velvet-skinny--1563a66-7291
Verdugo Ankle - Maroon Rose		https://www.paige.com/binaries/content/gallery/products/1/1764799-6460/1764799-6460_01.jpg/1764799-6460_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/verdugo-ankle--1764799-6460
Verdugo Ankle - Deep Marine		https://www.paige.com/binaries/content/gallery/products/1/1764799-6466/1764799-6466_01.jpg/1764799-6466_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/verdugo-ankle--1764799-6466
Verdugo Ankle - Paradise Cove		https://www.paige.com/binaries/content/gallery/products/1/1764984-6443/1764984-6443_01.jpg/1764984-6443_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/verdugo-ankle--1764984-6443
Hoxton Ankle - Chicory Coffee Luxe Coating		https://www.paige.com/binaries/content/gallery/products/1/1767799-6498/1767799-6498_01.jpg/1767799-6498_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/hoxton-ankle--1767799-6498
Hoxton Ankle - Smokey Night		https://www.paige.com/binaries/content/gallery/products/1/1767901-6458/1767901-6458_01.jpg/1767901-6458_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/hoxton-ankle--1767901-6458
Hoxton Ankle - Socal		https://www.paige.com/binaries/content/gallery/products/1/1767c36-6438/1767c36-6438_01.jpg/1767c36-6438_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-ankle--1767c36-6438
Hoxton Ankle - Black Willow		https://www.paige.com/binaries/content/gallery/products/1/1767f60-6497/1767f60-6497_01.jpg/1767f60-6497_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/hoxton-ankle--1767f60-6497
Verdugo Crop - Cityscape		https://www.paige.com/binaries/content/gallery/products/1/1948697-6445/1948697-6445_01.jpg/1948697-6445_01.jpg/brxp:xlProduct	$189.00	paige	https://www.paige.com/p/verdugo-crop--1948697-6445
Margot Ultra Skinny - Smokey Night		https://www.paige.com/binaries/content/gallery/products/2/2098901-6458/2098901-6458_01.jpg/2098901-6458_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/margot-ultra-skinny--2098901-6458
Leggy Extra Long Ultra Skinny - Brentwood		https://www.paige.com/binaries/content/gallery/products/2/2279984-6442/2279984-6442_01.jpg/2279984-6442_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/leggy-ultra-skinny--2279984-6442
Verdugo Ankle Raw Hem - Black Domino Destructed		https://www.paige.com/binaries/content/gallery/products/2/2392521-6513/2392521-6513_01.jpg/2392521-6513_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/verdugo-ankle-raw-hem--2392521-6513
Verdugo Ankle Raw Hem - Chive Luxe Coating		https://www.paige.com/binaries/content/gallery/products/2/2392799-6494/2392799-6494_01.jpg/2392799-6494_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/verdugo-ankle-raw-hem--2392799-6494
Verdugo Ankle Raw Hem - Ruby Rouge Luxe Coating		https://www.paige.com/binaries/content/gallery/products/2/2392799-6495/2392799-6495_01.jpg/2392799-6495_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/verdugo-ankle-raw-hem--2392799-6495
Verdugo Ankle - Downtown W/ Rockslide Hem		https://www.paige.com/binaries/content/gallery/products/2/2392f46-7414/2392f46-7414_01.jpg/2392f46-7414_01.jpg/brxp:xlProduct	$215.00	paige	https://www.paige.com/p/verdugo-ankle--2392f46-7414
Hoxton Straight - Black Leather Exposed Buttons		https://www.paige.com/binaries/content/gallery/products/5/5490a13-1086/5490a13-1086_01.jpg/5490a13-1086_01.jpg/brxp:xlProduct	$995.00	paige	https://www.paige.com/p/hoxton-straight-with-expsd-bts--5490a13-1086
Leenah Faux Welt Pockets - Fifer		https://www.paige.com/binaries/content/gallery/products/5/5493890-6455/5493890-6455_01.jpg/5493890-6455_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/leenah-faux-welt-pockets--5493890-6455
Genevieve - Black Shadow Patch Pockets		https://www.paige.com/binaries/content/gallery/products/5/5508521-2139/5508521-2139_01.jpg/5508521-2139_01.jpg/brxp:xlProduct	$225.00	paige	https://www.paige.com/p/genevieve-patch-pockets--5508521-2139
Genevieve - Claribelle Patch Pockets		https://www.paige.com/binaries/content/gallery/products/5/5508521-6487/5508521-6487_01.jpg/5508521-6487_01.jpg/brxp:xlProduct	$225.00	paige	https://www.paige.com/p/genevieve-patch-pockets--5508521-6487
Cindy - Clarice		https://www.paige.com/binaries/content/gallery/products/5/5511e77-6407/5511e77-6407_01.jpg/5511e77-6407_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/cindy-clean-slit-raw-hem--5511e77-6407
Christine Dress - Blue Toile De Juoy		https://www.paige.com/binaries/content/gallery/products/5/5519d72-7324/5519d72-7324_01.jpg/5519d72-7324_01.jpg/brxp:xlProduct	$329.00	paige	https://www.paige.com/p/christine-dress--5519d72-7324
Colette Crop Flare - Brentwood		https://www.paige.com/binaries/content/gallery/products/3/3089984-6442/3089984-6442_01.jpg/3089984-6442_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/colette-crop-flare--3089984-6442
Genevieve Flare -black Overdye		https://www.paige.com/binaries/content/gallery/products/3/3312a66-051/3312a66-051_01.jpg/3312a66-051_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/genevieve-flare--3312a66-051
Geneviene Flare - Burgundy		https://www.paige.com/binaries/content/gallery/products/3/3312a66-5171/3312a66-5171_01.jpg/3312a66-5171_01.jpg/brxp:xlProduct	$229.00	paige	https://www.paige.com/p/genevieve-flare--3312a66-5171
Brigitte - Limits		https://www.paige.com/binaries/content/gallery/products/3/3505d84-6439/3505d84-6439_01.jpg/3505d84-6439_01.jpg/brxp:xlProduct	$219.00	paige	https://www.paige.com/p/brigitte--3505d84-6439
Raundi Sweater - Camel		https://www.paige.com/binaries/content/gallery/products/3/3967919-2546/3967919-2546_01.jpg/3967919-2546_01.jpg/brxp:xlProduct	$259.00	paige	https://www.paige.com/p/raundi-sweater--3967919-2546
Raundi Sweater - Deep Burgundy		https://www.paige.com/binaries/content/gallery/products/3/3967919-6175/3967919-6175_01.jpg/3967919-6175_01.jpg/brxp:xlProduct	$259.00	paige	https://www.paige.com/p/raundi-sweater--3967919-6175
Raundi Sweater - Ivory		https://www.paige.com/binaries/content/gallery/products/3/3967919-7363/3967919-7363_01.jpg/3967919-7363_01.jpg/brxp:xlProduct	$259.00	paige	https://www.paige.com/p/raundi-sweater--3967919-7363
Abriana Shirt - Black Orchid Rose		https://www.paige.com/binaries/content/gallery/products/4/4099d71-7322/4099d71-7322_01.jpg/4099d71-7322_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/abriana-shirt--4099d71-7322
Abriana Shirt		https://www.paige.com/binaries/content/gallery/products/4/4099d92-5171/4099d92-5171_01.jpg/4099d92-5171_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/abriana-shirt--4099d92-5171
Abriana Shirt - Blush		https://www.paige.com/binaries/content/gallery/products/4/4099d92-7381/4099d92-7381_01.jpg/4099d92-7381_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/abriana-shirt--4099d92-7381
